"initial_alias","converted_alias","name","description","namespace"
"COMPLEX:H3BLZ+TGTSLRXJHE12WV8CY67Z4","None","None","None",""
"FZD2","2535","FZD2","frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAK1","22848","AAK1","AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRK5","2869","GRK5","G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS18","57617","VPS18","VPS18 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:15972]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLET1","349633","PLET1","placenta expressed transcript 1 [Source:HGNC Symbol;Acc:HGNC:30053]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORF45","None","None","None",""
"OR51G1","79324","OR51G1","olfactory receptor family 51 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:14738]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRPF1","7862","BRPF1","bromodomain and PHD finger containing 1 [Source:HGNC Symbol;Acc:HGNC:14255]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTBP1","5725","PTBP1","polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGFR3","2261","FGFR3","fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LARP4","113251","LARP4","La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSBPL9","114883","OSBPL9","oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"METHAZOLAMIDE","None","None","None",""
"HMGA2","8091","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ISCU","23479","ISCU","iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR11H4","390442","OR11H4","olfactory receptor family 11 subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:15347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NMRK1","54981","NMRK1","nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH3RF1","57630","SH3RF1","SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXW11","23291","FBXW11","F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP9Y","64595","USP9Y","ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP9Y","8287","USP9Y","ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PABPC3","5042","PABPC3","poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBX1","9978","RBX1","ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDE1C","5137","PDE1C","phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRIF1","55791","LRIF1","ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:HGNC:30299]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"F7","2155","F7","coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORC2","4999","ORC2","origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOGA1","140710","SOGA1","suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VIL1","7429","VIL1","villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBN1","2200","FBN1","fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC4A1AP","22950","SLC4A1AP","solute carrier family 4 member 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:13813]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5F1","338674","OR5F1","olfactory receptor family 5 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8343]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HCK","3055","HCK","HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCR8","1237","CCR8","C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR1G1","8390","OR1G1","olfactory receptor family 1 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:8204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UTP11","51118","UTP11","UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIPK3","10114","HIPK3","homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLRK1","100528032","KLRK1","killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLRK1","22914","KLRK1","killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNPDA1","10007","GNPDA1","glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRIN2C","2905","GRIN2C","glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2B4","493","ATP2B4","ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:AUMPNKOFJOIVK+WU9FBJ0PBQ6ZE","None","None","None",""
"COG7","91949","COG7","component of oligomeric golgi complex 7 [Source:HGNC Symbol;Acc:HGNC:18622]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEMA6A","57556","SEMA6A","semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHST5","23563","CHST5","carbohydrate sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:1973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP5E","None","None","None",""
"HLA-DRB1*03:01:01:01","None","None","None",""
"SFXN1","94081","SFXN1","sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTSB","1508","CTSB","cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM55B","None","None","None",""
"ARHGEF28","64283","ARHGEF28","Rho guanine nucleotide exchange factor 28 [Source:HGNC Symbol;Acc:HGNC:30322]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTBD2","55643","BTBD2","BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15504]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR11G2","390439","OR11G2","olfactory receptor family 11 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:15346]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REFSEQ:NP_000415","None","None","None",""
"TAF8","129685","TAF8","TATA-box binding protein associated factor 8 [Source:HGNC Symbol;Acc:HGNC:17300]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTBP2","58155","PTBP2","polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THOP1","7064","THOP1","thimet oligopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:11793]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:Q86WV7","None","None","None",""
"APBA1","320","APBA1","amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSME4","23198","PSME4","proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAT","6898","TAT","tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POP7","10248","POP7","POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUTF2","10204","NUTF2","nuclear transport factor 2 [Source:HGNC Symbol;Acc:HGNC:13722]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX10","1352","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD50","10111","RAD50","RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OVGP1","5016","OVGP1","oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:ZNN+EPJMWTKL734HQKWEM6KHYYU","None","None","None",""
"CRABP2","1382","CRABP2","cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM87A","25963","TMEM87A","transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HCVGP1","None","None","None",""
"GAS2","2620","GAS2","growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY6G6C","80740","LY6G6C","lymphocyte antigen 6 family member G6C [Source:HGNC Symbol;Acc:HGNC:13936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UTS2B","257313","UTS2B","urotensin 2B [Source:HGNC Symbol;Acc:HGNC:30894]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLA2G2F","64600","PLA2G2F","phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"EGLN1","54583","EGLN1","egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR6C1","390321","OR6C1","olfactory receptor family 6 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGLC1","None","None","None",""
"MRPL16","54948","MRPL16","mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HTRA1","5654","HTRA1","HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XRN1","54464","XRN1","5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:30654]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERCC6","2074","ERCC6","ERCC excision repair 6, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:3438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRY","6736","SRY","sex determining region Y [Source:HGNC Symbol;Acc:HGNC:11311]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR6C75","390323","OR6C75","olfactory receptor family 6 subfamily C member 75 [Source:HGNC Symbol;Acc:HGNC:31304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNH","902","CCNH","cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABLIM3","22885","ABLIM3","actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC36","None","None","None",""
"JAM2","58494","JAM2","junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLSTN1","22883","CLSTN1","calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL57","78988","MRPL57","mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSNK2A2","1459","CSNK2A2","casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TOR1AIP1","26092","TOR1AIP1","torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LUM","4060","LUM","lumican [Source:HGNC Symbol;Acc:HGNC:6724]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CORT","1325","CORT","cortistatin [Source:HGNC Symbol;Acc:HGNC:2257]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:P08519","None","None","None",""
"MST1","4485","MST1","macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDH3B","3420","IDH3B","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GMPR2","51292","GMPR2","guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EMILIN1","11117","EMILIN1","elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR75","84128","WDR75","WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBASH3B","84959","UBASH3B","ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNOT7","29883","CNOT7","CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPTBN1","6711","SPTBN1","spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C11ORF58","10944","C11orf58","chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR6M1","390261","OR6M1","olfactory receptor family 6 subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:14711]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOXP1","27086","FOXP1","forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UGT1A4*1A,","None","None","None",""
"UGT1A4*2","None","None","None",""
"CYP2C19*1,","None","None","None",""
"CYP2C19*2","None","None","None",""
"GRM6","2916","GRM6","glutamate metabotropic receptor 6 [Source:HGNC Symbol;Acc:HGNC:4598]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFD","1675","CFD","complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TINF2","26277","TINF2","TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLE4","56655","POLE4","DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5B17","219965","OR5B17","olfactory receptor family 5 subfamily B member 17 [Source:HGNC Symbol;Acc:HGNC:15267]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FADVAGP26","None","None","None",""
"CDCA3","83461","CDCA3","cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"QARS","None","None","None",""
"PDCD7","10081","PDCD7","programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC19A3","80704","SLC19A3","solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRND","23627","PRND","prion like protein doppel [Source:HGNC Symbol;Acc:HGNC:15748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYB5R1","51706","CYB5R1","cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSH6","2956","MSH6","mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HELZ2","85441","HELZ2","helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTGR1","22949","PTGR1","prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX27","81609","SNX27","sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPB11","51668","HSPB11","heat shock protein family B (small) member 11 [Source:HGNC Symbol;Acc:HGNC:25019]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GHR","2690","GHR","growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC22A13","9390","SLC22A13","solute carrier family 22 member 13 [Source:HGNC Symbol;Acc:HGNC:8494]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATG7","10533","ATG7","autophagy related 7 [Source:HGNC Symbol;Acc:HGNC:16935]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TJP2","9414","TJP2","tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPRN","503542","SPRN","shadow of prion protein [Source:HGNC Symbol;Acc:HGNC:16871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKR1C4","1109","AKR1C4","aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYS1","192668","CYS1","cystin 1 [Source:HGNC Symbol;Acc:HGNC:18525]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DAGLA","747","DAGLA","diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BOTB","None","None","None",""
"SULT4A1","25830","SULT4A1","sulfotransferase family 4A member 1 [Source:HGNC Symbol;Acc:HGNC:14903]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD17A","81926","ABHD17A","abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD23B","5887","RAD23B","RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAFK","7975","MAFK","MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CACNA2D4","93589","CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAS2R16","50833","TAS2R16","taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UQCRH","7388","UQCRH","ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS27","6232","RPS27","ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLCB3","5331","PLCB3","phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXCL2","2920","CXCL2","C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFT46","56912","IFT46","intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REFSEQ:NP_055205","None","None","None",""
"PTGDS","5730","PTGDS","prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2C9*1,","None","None","None",""
"CYP2C9*11,","None","None","None",""
"CYP2C9*2,","None","None","None",""
"CYP2C9*3,","None","None","None",""
"CYP2C9*5,","None","None","None",""
"CYP2C9*6","None","None","None",""
"PDGFD","80310","PDGFD","platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRAM1","23471","TRAM1","translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL42","28977","MRPL42","mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNPS1","10921","RNPS1","RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C10ORF12","None","None","None",""
"COMPLEX:6B7UN1BPE6BHT9Y0OVEIU0EA1VI","None","None","None",""
"CENPQ","55166","CENPQ","centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC44A2","57153","SLC44A2","solute carrier family 44 member 2 [Source:HGNC Symbol;Acc:HGNC:17292]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAS2R4","50832","TAS2R4","taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RACGAP1","29127","RACGAP1","Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDHB","5162","PDHB","pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP2R3B","124900587","PPP2R3B","protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
